Number,Subject,Gender,Condition,Task,Order,Initial,Item,Vowel,Vowel type,F1,F2,F3,Duration (ms.)
1640,13,F,Polite,Role,AB,initial,그래서,m,mono,348,1714,2680,29.74
1641,13,F,Polite,Role,AB,non,그거,m,mono,427,1205,2440,42.485
1642,13,F,Polite,Role,AB,non,계속,ey,diph,450,2005,2895,84.071
1643,13,F,Polite,Role,AB,non,그,m,mono,399,1915,3387,28.661
1644,13,F,Polite,Role,AB,non,그래도,m,mono,413,1330,2713,43.429
1645,13,F,Polite,Role,AB,non,그,m,mono,421,1909,3165,46.756
1646,13,F,Polite,Role,AB,non,다시,a,mono,764,1676,3112,115.992
1647,13,F,Polite,Role,AB,non,구할수,u,mono,443,994,2630,28.571
1648,13,F,Polite,Role,AB,non,방법,a,mono,386,1134,2879,58.94
1649,13,F,Polite,Role,AB,non,계속,ey,diph,438,1878,2916,66.178
1650,13,F,Polite,Role,AB,non,국립,u,mono,326,1308,2633,35.966
1651,13,F,Polite,Role,AB,non,대여,e,mono,485,2510,2820,101.993
1652,13,F,Polite,Role,AB,non,다시,a,mono,262,1258,2796,97.26
1653,13,F,Polite,Role,AB,initial,도서관,o,mono,387,1144,2906,70.073
1654,13,F,Polite,Role,AB,initial,국립,u,mono,359,931,2654,31.612
1655,13,F,Polite,Role,AB,non,대출,e,mono,501,1677,2748,44.545
1933,14,M,Polite,Role,AB,initial,교수님,oy,diph,407,1752,3371,43.699
1934,14,M,Polite,Role,AB,non,강형민,a,mono,632,1333,2036,60.761
1935,14,M,Polite,Role,AB,non,그,m,mono,374,797,2231,70.134
1936,14,M,Polite,Role,AB,initial,다음번엔,a,mono,676,1162,2267,99.087
1937,14,M,Polite,Role,AB,non,또,o,mono,336,724,2505,272.49
1938,14,M,Polite,Role,AB,non,교수님,oy,diph,400,1539,2170,42.53
1939,14,M,Polite,Role,AB,non,그,m,mono,509,1962,2127,53.5
1940,14,M,Polite,Role,AB,non,타다가,a,mono,584,1326,2611,77.103
1941,14,M,Polite,Role,AB,non,그,m,mono,372,967,2124,144.427
1942,14,M,Polite,Role,AB,non,교수님,oy,diph,424,2406,3085,32.1
1943,14,M,Polite,Role,AB,non,반납,a,mono,799,1193,2589,53.882
1944,14,M,Polite,Role,AB,non,그런,m,mono,414,1363,2235,30.504
1945,14,M,Polite,Role,AB,non,비슷한,i,mono,372,1959,2836,72.472
1946,14,M,Polite,Role,AB,non,교수님,oy,diph,399,1365,2306,50.263
1947,14,M,Polite,Role,AB,non,비슷한,i,mono,383,2745,2857,51.567
1948,14,M,Polite,Role,AB,non,그런,m,mono,394,1170,2303,47.386
1949,14,M,Polite,Role,AB,non,부분,u,mono,328,544,1859,69.685
1950,14,M,Polite,Role,AB,non,그런,m,mono,413,1246,2221,33.449
1951,14,M,Polite,Role,AB,non,동료,o,mono,325,691,2379,53.163
1952,14,M,Polite,Role,AB,non,교수님,oy,diph,350,871,2247,81.381
1953,14,M,Polite,Role,AB,non,똑같은,o,mono,628,1230,2163,63.142
1954,14,M,Polite,Role,AB,non,갖고,a,mono,548,1131,2319,45.616
1955,14,M,Polite,Role,AB,non,타이핑,a,mono,545,1947,2346,72.74
1956,14,M,Polite,Role,AB,non,드리고,m,mono,384,1803,2377,45.411
1957,14,M,Polite,Role,AB,non,그런,m,mono,420,1183,2256,22.038
